site	patient	visit	lambda
rectum	EP003595	10	0.0
vagina	EP003595	1	0.4284554791606772
buccal mucosa	EP003595	9	0.0
rectum	EP003595	9	0.13864254994942818
buccal mucosa	EP004835	1	0.0
rectum	EP004835	1	0.14924508956072982
vagina	EP004835	1	0.27459448893558297
buccal mucosa	EP004835	2	0.0
rectum	EP004835	2	0.27426162667458803
vagina	EP004835	2	0.3442423683645256
buccal mucosa	EP004835	3	0.3930011839870827
rectum	EP004835	3	0.22908548730877837
vagina	EP004835	3	0.23301376632866555
buccal mucosa	EP004835	4	0.26570476562799533
rectum	EP004835	4	0.2033133164627626
vagina	EP004835	4	0.3156546595054871
buccal mucosa	EP004835	5	0.14683963716571008
rectum	EP004835	5	0.2508941137727911
vagina	EP004835	5	0.27071251310832756
buccal mucosa	EP004835	6	0.0
buccal mucosa	EP004835	7	0.0
buccal mucosa	EP004835	8	0.4210191175683887
rectum	EP004835	8	0.29139472185716403
buccal mucosa	EP005972	1	0.0
buccal mucosa	EP005972	2	0.6291943867524599
vagina	EP005972	2	0.27274991576083485
vagina	EP005972	3	0.230205516919919
feces	EP005972	4	0.21948780011743005
buccal mucosa	EP005972	5	0.0
buccal mucosa	EP007214	10	0.0
rectum	EP007214	10	0.4052558923555047
buccal mucosa	EP007214	1	0.3123970568357363
rectum	EP007214	1	0.08321962796592391
vagina	EP007214	1	0.2384706359462722
buccal mucosa	EP007214	11	0.022432142876211317
buccal mucosa	EP007214	2	0.1506381965273521
rectum	EP007214	2	0.4338111587080537
vagina	EP007214	2	0.3737619326933018
buccal mucosa	EP007214	3	0.305041167826695
rectum	EP007214	3	0.15006534135098962
vagina	EP007214	3	0.3697652706895945
buccal mucosa	EP007214	4	0.16394654310972445
vagina	EP007214	4	0.31398035132337726
buccal mucosa	EP007214	5	0.3035152631865637
rectum	EP007214	5	0.2339448966756622
vagina	EP007214	5	0.1401896093621749
buccal mucosa	EP007214	6	0.33846282500195507
rectum	EP007214	6	0.21526744406913637
vagina	EP007214	6	0.142476325114609
feces	EP007214	7	0.0
buccal mucosa	EP007214	8	0.19957185174405176
rectum	EP007214	8	1.0
buccal mucosa	EP010982	10	0.0
rectum	EP010982	10	0.22037328949608445
buccal mucosa	EP010982	1	0.4247440676255722
rectum	EP010982	1	0.0
vagina	EP010982	1	0.30832499685820336
buccal mucosa	EP010982	2	0.044393358325624195
rectum	EP010982	2	0.13601043420433515
vagina	EP010982	2	0.18950530359865506
buccal mucosa	EP010982	3	0.0
rectum	EP010982	3	0.0
vagina	EP010982	3	0.3547115208121992
buccal mucosa	EP010982	4	0.145206619939558
rectum	EP010982	4	0.34297974368616413
vagina	EP010982	4	0.23265819490349193
buccal mucosa	EP010982	5	0.19738872813443137
rectum	EP010982	5	0.31937089786229256
vagina	EP010982	5	0.5409652480578622
buccal mucosa	EP010982	7	0.0
rectum	EP010982	7	0.2551550472879372
feces	EP010982	8	0.6887137049401741
buccal mucosa	EP010982	9	0.0
feces	EP013002	10	0.26172449323035324
buccal mucosa	EP013002	1	1.0
cervix of uterus	EP013002	1	0.34658304137035206
rectum	EP013002	1	0.6169913924141631
vagina	EP013002	1	0.15242267748588545
buccal mucosa	EP013002	11	0.10976860876477511
rectum	EP013002	11	0.2802996979373713
vagina	EP013002	11	0.25827552725678826
buccal mucosa	EP013002	2	0.21303826802441575
rectum	EP013002	2	0.24439636862620126
vagina	EP013002	2	0.4464709219242616
buccal mucosa	EP013002	3	0.0
rectum	EP013002	3	0.11877640279952607
vagina	EP013002	3	0.18006363157419747
buccal mucosa	EP013002	4	0.5589900929432234
rectum	EP013002	4	0.19894285088870578
vagina	EP013002	4	0.08752402805787503
buccal mucosa	EP013002	5	0.32849780451843286
rectum	EP013002	5	0.0
vagina	EP013002	5	0.2524882552288461
buccal mucosa	EP013002	6	0.0
rectum	EP013002	6	0.33599771304209963
buccal mucosa	EP013002	7	0.05325344723551526
rectum	EP013002	7	0.2514684478372622
unknown	EP013002	8	0.031637572729453445
buccal mucosa	EP013002	8	0.4561722454671926
feces	EP013002	9	0.1006010768962959
buccal mucosa	EP013417	1	0.0
rectum	EP013417	1	0.2615206816685733
vagina	EP013417	1	0.20415182309837407
buccal mucosa	EP013417	2	0.4568996885755267
rectum	EP013417	2	0.39301472945548166
unknown	EP013417	3	0.8188435353198376
buccal mucosa	EP013417	3	0.0
buccal mucosa	EP013417	4	0.1658158393178895
rectum	EP013417	4	0.05430605910228047
vagina	EP013417	4	0.0
buccal mucosa	EP013417	5	0.42700799982444837
vagina	EP013417	5	0.1911718301926729
buccal mucosa	EP013894	10	0.0
rectum	EP013894	10	0.16366253834691044
buccal mucosa	EP013894	1	0.17884383190503372
rectum	EP013894	1	0.18245642560642333
vagina	EP013894	1	0.15810464919322895
feces	EP013894	11	0.3965451527127077
buccal mucosa	EP013894	12	0.27315035515992686
rectum	EP013894	12	0.21795279154673855
buccal mucosa	EP013894	13	0.0
feces	EP013894	14	0.23828192203887688
buccal mucosa	EP013894	2	0.31003304346691113
rectum	EP013894	2	0.25294872829658915
vagina	EP013894	2	0.33435639604685174
buccal mucosa	EP013894	3	0.0
rectum	EP013894	3	0.12732194336958236
vagina	EP013894	3	0.25553504978653735
buccal mucosa	EP013894	4	0.11002825962531938
rectum	EP013894	4	0.0
vagina	EP013894	4	0.2635602136496159
buccal mucosa	EP013894	5	0.16829800992309324
rectum	EP013894	5	0.0
vagina	EP013894	5	0.4011784830339215
buccal mucosa	EP013894	6	0.2521953786735081
rectum	EP013894	6	0.0
vagina	EP013894	6	0.07803256241242244
buccal mucosa	EP013894	8	0.0
rectum	EP013894	8	0.0
vagina	EP013894	8	0.11021262355163318
feces	EP016061	10	0.06772482618740573
rectum	EP016061	1	0.0
buccal mucosa	EP016061	2	0.3961914096747055
rectum	EP016061	2	0.14884660652060722
vagina	EP016061	2	0.0
buccal mucosa	EP016061	3	0.0
rectum	EP016061	3	0.1944143460303438
vagina	EP016061	3	0.31266296753735795
buccal mucosa	EP016061	4	0.0
vagina	EP016061	4	0.5001065724561587
feces	EP016061	5	0.2965598776699583
buccal mucosa	EP016061	6	0.516951295245605
rectum	EP016061	6	0.19869196035867207
buccal mucosa	EP016061	8	0.16155181636291008
buccal mucosa	EP016061	9	0.33158036660163576
rectum	EP016061	9	0.12180691005373716
buccal mucosa	EP016916	10	0.0
buccal mucosa	EP016916	1	0.18009859234858783
rectum	EP016916	1	0.44172542713052426
vagina	EP016916	1	0.0
buccal mucosa	EP016916	11	0.5493357283173367
rectum	EP016916	11	0.25729782292607123
buccal mucosa	EP016916	2	0.176206937557446
rectum	EP016916	2	0.17939018004912258
vagina	EP016916	2	0.2733901777667269
buccal mucosa	EP016916	3	0.0
rectum	EP016916	3	0.5414514835476941
vagina	EP016916	3	0.2100003578205631
buccal mucosa	EP016916	4	0.0
rectum	EP016916	4	0.22103004464285658
vagina	EP016916	4	0.18540822416854186
buccal mucosa	EP016916	5	0.034721497452103504
rectum	EP016916	5	0.12474475217487546
vagina	EP016916	5	0.5090580667253072
buccal mucosa	EP016916	6	1.0
rectum	EP016916	6	0.1949903828580578
feces	EP016916	8	0.912774648481303
feces	EP016916	9	0.2419004689618551
buccal mucosa	EP018067	1	0.0
rectum	EP018067	1	0.06227571452491926
vagina	EP018067	1	0.2663394930597733
feces	EP018067	2	0.25604154526527984
buccal mucosa	EP018067	3	0.10864853502818894
rectum	EP018067	3	0.6130630700719975
buccal mucosa	EP018067	4	0.09232875961174461
rectum	EP018067	4	0.2936475436519264
unknown	EP018067	5	0.21754556190478658
buccal mucosa	EP018067	5	0.2431808096142647
feces	EP018067	6	0.15772655297859636
buccal mucosa	EP021899	10	0.33483200871753993
rectum	EP021899	10	0.10449832797405452
buccal mucosa	EP021899	1	0.0
rectum	EP021899	1	0.2461350278250389
vagina	EP021899	1	0.20128642174741226
buccal mucosa	EP021899	12	0.3366324603540851
buccal mucosa	EP021899	13	0.0
rectum	EP021899	13	0.1354350339706338
feces	EP021899	14	0.09172217423630658
buccal mucosa	EP021899	2	0.2402526408247778
rectum	EP021899	2	0.07333540955143213
vagina	EP021899	2	0.3876453927824617
buccal mucosa	EP021899	4	0.0
rectum	EP021899	4	0.077272295972851
vagina	EP021899	4	0.4306929963363584
buccal mucosa	EP021899	8	0.09659155401978695
vagina	EP021899	8	0.8698185755369743
buccal mucosa	EP023111	1	0.0
vagina	EP023111	1	0.0
buccal mucosa	EP023111	2	0.0
vagina	EP023111	2	0.3683366288346122
buccal mucosa	EP023111	3	0.0
vagina	EP023111	3	0.39724111049838107
buccal mucosa	EP023111	4	0.0
vagina	EP023111	4	0.28638954901298186
buccal mucosa	EP023111	5	0.18796502430260917
buccal mucosa	EP028055	10	0.0
buccal mucosa	EP028055	1	0.0
rectum	EP028055	1	0.0
vagina	EP028055	1	0.21475101556272225
buccal mucosa	EP028055	11	0.34898559723726796
rectum	EP028055	11	0.28700925118871934
buccal mucosa	EP028055	2	0.2804431782587882
rectum	EP028055	2	0.18142679321200905
buccal mucosa	EP028055	3	0.0
rectum	EP028055	3	0.09551064935054839
vagina	EP028055	3	0.28589958741151017
buccal mucosa	EP028055	4	0.0
rectum	EP028055	4	0.226053900006119
vagina	EP028055	4	0.29900168560398177
buccal mucosa	EP028055	6	0.0
rectum	EP028055	6	0.3626594720531046
vagina	EP028055	6	0.21862295191192016
rectum	EP028055	7	0.22185784035426495
feces	EP028055	9	1.0
buccal mucosa	EP031863	1	0.313553616969863
cervix of uterus	EP031863	1	0.32524830089087575
rectum	EP031863	1	0.3280214812923449
vagina	EP031863	1	0.1218435061016752
buccal mucosa	EP031863	2	0.19662880319661954
rectum	EP031863	2	0.13891684059883205
feces	EP031863	3	0.14824243422797387
feces	EP031863	4	0.0
unknown	EP031863	5	0.3958131348553773
buccal mucosa	EP031863	5	0.20693309640310534
buccal mucosa	EP031863	6	0.0
rectum	EP031863	6	0.5486658725949127
rectum	EP031863	7	0.10561184099942997
vagina	EP031863	7	0.19739974774750715
buccal mucosa	EP034068	10	0.0
rectum	EP034068	10	0.24940214743374048
buccal mucosa	EP034068	1	0.21859266297633637
rectum	EP034068	1	0.12835908343896407
